video_id,trial_id,condition,protocol,condition_label_note,analysis_status,quality_flag,sniff_onset_s
2025-12-28_14-03-58,1,control,two_test_tube,trial_1_placebo_control_trial_2_sweat,not_primary,pending,
2025-12-28_14-03-58,2,sweat,two_test_tube,trial_1_placebo_control_trial_2_sweat,not_primary,pending,
2026-01-08_10-25-28,1,control,two_test_tube,trial_1_placebo_control_trial_2_sweat,not_primary,pending,
2026-01-08_10-25-28,2,sweat,two_test_tube,trial_1_placebo_control_trial_2_sweat,not_primary,pending,
2026-01-20_14-38-34_Ariella,1,control,two_test_tube,trial_1_placebo_control_trial_2_sweat,not_primary,exclude,
2026-01-20_14-38-34_Ariella,2,sweat,two_test_tube,trial_1_placebo_control_trial_2_sweat,not_primary,exclude,
2026-01-20_14-44-42_Maya,1,control,two_test_tube,trial_1_placebo_control_trial_2_sweat,not_primary,pending,
2026-01-20_14-44-42_Maya,2,sweat,two_test_tube,trial_1_placebo_control_trial_2_sweat,not_primary,pending,
P1H31277,1,control,two_test_tube,trial_1_placebo_control_trial_2_sweat,primary,ok,15
P1H31277,2,sweat,two_test_tube,trial_1_placebo_control_trial_2_sweat,primary,ok,172
P1H42065,1,control,two_test_tube,trial_1_placebo_control_trial_2_sweat,primary,ok,11
P1H42065,2,sweat,two_test_tube,trial_1_placebo_control_trial_2_sweat,primary,ok,162
P1L42069,1,control,two_test_tube,trial_1_placebo_control_trial_2_sweat,primary,ok,14
P1L42069,2,sweat,two_test_tube,trial_1_placebo_control_trial_2_sweat,primary,ok,177
P2H31220,1,control,two_test_tube,trial_1_placebo_control_trial_2_sweat,primary,ok,12
P2H31220,2,sweat,two_test_tube,trial_1_placebo_control_trial_2_sweat,primary,ok,180
P2H42009,1,control,two_test_tube,trial_1_placebo_control_trial_2_sweat,primary,ok,13
P2H42009,2,sweat,two_test_tube,trial_1_placebo_control_trial_2_sweat,primary,ok,163
P2L40002,1,control,two_test_tube,trial_1_placebo_control_trial_2_sweat,primary,ok,12
P2L40002,2,sweat,two_test_tube,trial_1_placebo_control_trial_2_sweat,primary,ok,190
P2L42107,1,control,two_test_tube,trial_1_placebo_control_trial_2_sweat,primary,ok,30
P2L42107,2,sweat,two_test_tube,trial_1_placebo_control_trial_2_sweat,primary,ok,214
